id,Sex,Length,Diameter,Height,Whole weight,Whole weight.1,Whole weight.2,Shell weight,Rings
0,F,0.55,0.43,0.15,0.7715,0.3285,0.1465,0.24,11
1,F,0.63,0.49,0.145,1.13,0.458,0.2765,0.32,11
2,I,0.16,0.11,0.025,0.021,0.0055,0.003,0.005,6
3,M,0.595,0.475,0.15,0.9145,0.3755,0.2055,0.25,10
4,I,0.555,0.425,0.13,0.782,0.3695,0.16,0.1975,9
5,F,0.61,0.48,0.17,1.201,0.5335,0.3135,0.3085,10
6,M,0.415,0.325,0.11,0.3315,0.1655,0.0715,0.13,9
7,F,0.61,0.49,0.15,1.1165,0.4955,0.2945,0.295,9
8,I,0.205,0.15,0.04,0.046,0.0145,0.0105,0.01,4
9,I,0.565,0.425,0.125,0.651,0.3795,0.142,0.18,8
10,M,0.485,0.39,0.135,0.6335,0.3035,0.165,0.2,8
11,M,0.605,0.5,0.185,1.218,0.5885,0.2705,0.31,11
12,F,0.595,0.475,0.145,0.9085,0.3605,0.1765,0.265,15
13,I,0.44,0.345,0.11,0.4495,0.175,0.0945,0.1365,7
14,I,0.555,0.435,0.145,0.7905,0.3495,0.1815,0.2425,10
15,F,0.59,0.44,0.185,1.0195,0.4005,0.2465,0.265,11
16,I,0.335,0.25,0.09,0.1965,0.096,0.054,0.055,8
17,M,0.675,0.545,0.18,1.633,0.741,0.339,0.485,12
18,I,0.5,0.36,0.105,0.494,0.2385,0.1055,0.13,8
19,M,0.305,0.215,0.1,0.224,0.0865,0.0345,0.07,7
20,I,0.505,0.385,0.125,0.6095,0.2755,0.1435,0.165,8
21,F,0.55,0.44,0.14,0.8785,0.425,0.1685,0.2325,9
22,M,0.57,0.46,0.175,1.3695,0.6,0.268,0.35,10
23,M,0.495,0.385,0.135,0.6765,0.261,0.1375,0.205,10
24,F,0.575,0.435,0.145,0.7955,0.3885,0.1925,0.22,9
25,M,0.58,0.46,0.15,0.8145,0.3935,0.1785,0.246,8
26,I,0.5,0.385,0.135,0.6075,0.2765,0.1245,0.171,8
27,M,0.645,0.525,0.175,1.489,0.5985,0.3315,0.4,20
28,I,0.18,0.11,0.04,0.0315,0.0105,0.0065,0.005,4
29,M,0.58,0.45,0.165,1.0425,0.3745,0.2075,0.455,20
30,I,0.355,0.27,0.08,0.204,0.25,0.046,0.0595,7
31,I,0.495,0.375,0.125,0.5185,0.241,0.1035,0.16,9
32,M,0.47,0.375,0.14,0.5785,0.2185,0.1295,0.185,12
33,I,0.395,0.31,0.09,0.2425,0.1,0.0635,0.088,8
34,I,0.58,0.45,0.14,0.9165,0.3875,0.1615,0.275,10
35,F,0.59,0.46,0.16,0.964,0.419,0.2145,0.265,9
36,M,0.18,0.125,0.04,0.0275,0.011,0.0095,0.008,4
37,F,0.605,0.475,0.175,1.2415,0.5305,0.3065,0.34,17
38,M,0.515,0.39,0.125,0.5175,0.2655,0.096,0.1435,9
39,I,0.36,0.27,0.09,0.1855,0.08,0.0415,0.065,6
40,I,0.29,0.21,0.075,0.1425,0.0565,0.0275,0.04,6
41,I,0.47,0.34,0.105,0.3675,0.143,0.108,0.1,7
42,I,0.385,0.305,0.085,0.252,0.1065,0.055,0.08,7
43,M,0.525,0.39,0.135,0.7835,0.3135,0.1645,0.1845,9
44,M,0.52,0.385,0.14,0.7275,0.343,0.1625,0.19,10
45,I,0.29,0.21,0.075,0.116,0.05,0.036,0.034,6
46,I,0.55,0.43,0.155,0.7165,0.3445,0.1835,0.223,8
47,M,0.635,0.545,0.18,1.3725,0.573,0.3445,0.39,13
48,I,0.515,0.4,0.145,0.7555,0.41,0.1745,0.169,7
49,F,0.58,0.465,0.17,1.2435,0.4475,0.2425,0.38,14
50,I,0.47,0.375,0.12,0.5395,0.2595,0.1165,0.16,9
51,F,0.615,0.47,0.14,1.0595,0.5305,0.236,0.27,9
52,I,0.455,0.345,0.12,0.4425,0.192,0.081,0.13,8
53,M,0.545,0.435,0.155,0.8445,0.3485,0.1955,0.32,13
54,M,0.49,0.395,0.125,0.6605,0.2675,0.1345,0.185,13
55,M,0.505,0.4,0.14,0.7665,0.3345,0.1625,0.169,9
56,F,0.48,0.38,0.105,0.515,0.224,0.132,0.165,10
57,I,0.435,0.345,0.11,0.4155,0.1645,0.091,0.13,9
58,M,0.575,0.45,0.155,0.9335,0.4165,0.1605,0.275,10
59,I,0.33,0.255,0.095,0.1785,0.0655,0.037,0.055,7
60,F,0.63,0.485,0.16,1.2435,0.5635,0.3045,0.3,10
61,F,0.615,0.475,0.13,1.0375,0.3865,0.262,0.33,14
62,M,0.725,0.565,0.205,1.926,0.959,0.38,0.44,11
63,F,0.585,0.46,0.165,0.9705,0.4535,0.2275,0.245,9
64,I,0.295,0.22,0.08,0.121,0.0505,0.029,0.027,5
65,I,0.41,0.32,0.09,0.34,0.192,0.0655,0.082,6
66,M,0.535,0.405,0.14,0.764,0.347,0.1605,0.201,9
67,F,0.55,0.425,0.15,1.0025,0.54,0.1705,0.24,9
68,I,0.525,0.4,0.14,0.7365,0.3055,0.1435,0.21,9
69,M,0.695,0.565,0.235,1.8985,0.797,0.3835,0.4385,10
70,F,0.535,0.42,0.155,0.8705,0.3155,0.2145,0.235,12
71,I,0.485,0.37,0.12,0.547,0.216,0.1085,0.1785,8
72,I,0.475,0.375,0.115,0.501,0.2025,0.1165,0.165,8
73,M,0.68,0.53,0.175,1.5175,0.7765,0.3675,0.405,11
74,I,0.46,0.345,0.11,0.365,0.16,0.0885,0.105,9
75,M,0.655,0.52,0.175,1.5265,0.7365,0.3075,0.3925,11
76,F,0.555,0.43,0.13,0.874,0.3595,0.1725,0.22,9
77,I,0.335,0.25,0.075,0.18,0.0775,0.0335,0.037,5
78,F,0.58,0.49,0.175,1.017,0.4415,0.2365,0.365,13
79,F,0.585,0.53,0.16,1.054,0.3895,0.1905,0.375,23
80,I,0.58,0.45,0.135,0.8115,0.4035,0.1755,0.235,12
81,I,0.53,0.395,0.125,0.6445,0.3155,0.1235,0.185,9
82,I,0.48,0.38,0.125,0.5605,0.248,0.12,0.16,9
83,M,0.165,0.125,0.055,0.011,0.0045,0.005,0.0015,5
84,I,0.29,0.19,0.055,0.0655,0.027,0.0215,0.02,5
85,I,0.45,0.33,0.11,0.393,0.163,0.062,0.111,7
86,M,0.495,0.375,0.115,0.5415,0.2595,0.086,0.1325,7
87,I,0.295,0.22,0.065,0.14,0.0565,0.013,0.035,6
88,I,0.275,0.22,0.07,0.1385,0.056,0.0285,0.0265,5
89,F,0.575,0.47,0.16,1.1255,0.53,0.222,0.29,9
90,M,0.61,0.495,0.19,1.3315,0.5815,0.3025,0.385,12
91,I,0.47,0.355,0.125,0.4935,0.2375,0.11,0.1535,8
92,M,0.51,0.4,0.135,0.7045,0.3525,0.159,0.185,7
93,I,0.17,0.15,0.035,0.021,0.0065,0.0085,0.005,4
94,M,0.645,0.515,0.175,1.58,0.5265,0.336,0.44,12
95,F,0.505,0.405,0.135,0.959,0.2555,0.2245,0.2535,14
96,I,0.42,0.325,0.1,0.366,0.174,0.0825,0.0975,8
97,M,0.625,0.49,0.15,1.1835,0.5785,0.2355,0.2885,9
